Scopus-10-Analyze-Source

"Your query : (TITLE-ABS-KEY(""Robot"" AND ""Animal husbandry"") AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""COMP"" ) ) )"


Number of results : 10

"SOURCE TITLE",
"Nongye Gongcheng Xuebao Transactions Of The Chinese Society Of Agricultural Engineering","13"
"ACM International Conference Proceeding Series","3"
"Environmental Science And Engineering","3"
"Advances In Intelligent Systems And Computing","2"
"Complexity","2"
"Computers And Electronics In Agriculture","2"
"IFAC Papersonline","2"
"Journal Of Cleaner Production","2"
"Journal Of Dairy Science","2"
"Land Degradation And Development","2"
"Mathematical Problems In Engineering","2"
"Nongye Jixie Xuebao Transactions Of The Chinese Society For Agricultural Machinery","2"
"Sensors Switzerland","2"
"Water Switzerland","2"
"Agriculture And Human Values","1"
"Animal Science Journal","1"
"Animal Welfare","1"
"Annual Review Of Animal Biosciences","1"
"Applied And Environmental Microbiology","1"
"Applied Engineering In Agriculture","1"
"Aqua Water Infrastructure Ecosystems And Society","1"
"Austrian Journal Of Agricultural Economics And Rural Studies","1"
"British Poultry Science","1"
"Computers Materials And Continua","1"
"Ecological Indicators","1"
"Environmental Earth Sciences","1"
"Food Research International","1"
"Food Reviews International","1"
"Forests","1"
"Frontiers In Bioengineering And Biotechnology","1"
"Geoderma","1"
"Green Energy And Technology","1"
"IEEE Consumer Electronics Magazine","1"
"International Journal Of Design And Nature And Ecodynamics","1"
"International Journal Of Digital Earth","1"
"International Journal Of Electrical Engineering Education","1"
"International Journal Of Environmental Analytical Chemistry","1"
"International Journal Of Nanotechnology","1"
"Iop Conference Series Materials Science And Engineering","1"
"Journal Of Advanced Research In Dynamical And Control Systems","1"
"Journal Of Animal Science","1"
"Journal Of South China Agricultural University","1"
"Journal Of The Textile Institute","1"
"Lab Animal","1"
"Lecture Notes In Civil Engineering","1"
"Light And Engineering","1"
"Linye Kexue Scientia Silvae Sinicae","1"
"Materials Letters","1"
"Modern Food Science And Technology","1"
"NTT Technical Review","1"
"Nano Energy","1"
"Nanotechnologies In Russia","1"
"Quaternary Science Reviews","1"
"Risk Analysis","1"
"Ruan Jian Xue Bao Journal Of Software","1"
"Smart Agriculture","1"
"Transactions Of The Asabe","1"
