Publication Years	Record Count	% of 2,941
2022	451	15.335
2020	409	13.907
2021	341	11.595
2019	312	10.609
2016	199	6.766
2018	125	4.250
2017	124	4.216
2015	110	3.740
2014	85	2.890
2013	80	2.720
2012	71	2.414
2011	57	1.938
2010	54	1.836
2006	50	1.700
2009	44	1.496
2008	39	1.326
1997	34	1.156
2023	33	1.122
1996	26	0.884
1992	25	0.850
2007	21	0.714
1993	20	0.680
1995	19	0.646
2000	19	0.646
1999	18	0.612
2001	18	0.612
1990	17	0.578
2005	17	0.578
1998	16	0.544
2003	16	0.544
2004	16	0.544
2002	15	0.510
1994	12	0.408
1988	9	0.306
1991	9	0.306
1989	8	0.272
1987	7	0.238
1986	6	0.204
1985	5	0.170
1979	1	0.034
1982	1	0.034
1983	1	0.034
1984	1	0.034
